Latitude,Longitude
-0.0746485,34.7382532
-0.0746485,34.7382532
-0.0746485,34.7382532
-0.0746485,34.7382532
-0.0746485,34.7382532
-0.0746485,34.7382532
-0.0746485,34.7382532
-0.0746485,34.7382532
-0.5553639144514619,34.20849312589263
-0.5553639144514619,34.20849312589263
-0.5553639144514619,34.20849312589263
-0.5553639144514619,34.20849312589263
-0.5553639144514619,34.20849312589263
-0.5553639144514619,34.20849312589263
-0.5553639144514619,34.20849312589263
-0.5553639144514619,34.20849312589263
-10.025315699140457,-54.90933679504083
-10.025315699140457,-54.90933679504083
-10.025315699140457,-54.90933679504083
-10.025315699140457,-54.90933679504083
-10.025315699140457,-54.90933679504083
-10.025315699140457,-54.90933679504083
-10.025315699140457,-54.90933679504083
-10.025315699140457,-54.90933679504083
-10.757900930336646,-42.403632396026836
-10.757900930336646,-42.403632396026836
-10.757900930336646,-42.403632396026836
-10.757900930336646,-42.403632396026836
-10.757900930336646,-42.403632396026836
-10.757900930336646,-42.403632396026836
-10.757900930336646,-42.403632396026836
-10.757900930336646,-42.403632396026836
-10.940253674614375,-37.08934408936446
-10.940253674614375,-37.08934408936446
-10.940253674614375,-37.08934408936446
-10.940253674614375,-37.08934408936446
-10.940253674614375,-37.08934408936446
-10.940253674614375,-37.08934408936446
-10.940253674614375,-37.08934408936446
-10.940253674614375,-37.08934408936446
-11.303761152151317,-51.67145435242219
-11.303761152151317,-51.67145435242219
-11.303761152151317,-51.67145435242219
-11.303761152151317,-51.67145435242219
-11.303761152151317,-51.67145435242219
-11.303761152151317,-51.67145435242219
-11.303761152151317,-51.67145435242219
-11.303761152151317,-51.67145435242219
-11.32890269231713,-41.86221418441036
-11.32890269231713,-41.86221418441036
-11.32890269231713,-41.86221418441036
-11.32890269231713,-41.86221418441036
-11.32890269231713,-41.86221418441036
-11.32890269231713,-41.86221418441036
-11.32890269231713,-41.86221418441036
-11.32890269231713,-41.86221418441036
-12.2045518,-38.952472
-12.2045518,-38.952472
-12.2045518,-38.952472
-12.2045518,-38.952472
-12.2045518,-38.952472
-12.2045518,-38.952472
-12.2045518,-38.952472
-12.2045518,-38.952472
-12.213543575471842,-38.964021399160046
-12.213543575471842,-38.964021399160046
-12.213543575471842,-38.964021399160046
-12.213543575471842,-38.964021399160046
-12.213543575471842,-38.964021399160046
-12.213543575471842,-38.964021399160046
-12.213543575471842,-38.964021399160046
-12.213543575471842,-38.964021399160046
-12.402553597289604,-40.40141927013886
-12.402553597289604,-40.40141927013886
-12.402553597289604,-40.40141927013886
-12.402553597289604,-40.40141927013886
-12.402553597289604,-40.40141927013886
-12.402553597289604,-40.40141927013886
-12.402553597289604,-40.40141927013886
-12.402553597289604,-40.40141927013886
-13.252282529137503,-43.40048704368127
